,Unnamed: 0.1,Unnamed: 0,Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period,t,o,tao,Cubic,Tetra,Ortho,Hex,PBE,HSE,Expt,Decomp(PBE),Decomp(HSE),Band gap(HSE-mf1),A_En_mull,B_En_mull,X_En_mull,x(S),CBM,VBM,n_abs(%),n_cu(%),n_STH(%)
359,33121,33121,12223,CsCa0.125Ge0.500Sn0.375Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.5,0.38,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2851.63,934.17,5.6,85.83,85.88,720.5,19.67,295.37,1.86,37.25,4.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8868796916577035,0.5051020408163265,4.096423757523503,0,1,0,0,0,1,0,-0.2595615210725004,-0.2478510437700005,1.7336246772750017,2.1826697585,4.178782117,7.589258675,5.249611509075745,-0.05720082956175632,1.6764238477132454,66.24,36.51,24.184223999999993
134,16114,16114,5779,CsCa0.125Ge0.375Sn0.500Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.38,0.5,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.03,2822.75,845.87,5.84,91.59,86.0,713.81,16.59,289.88,1.86,39.5,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8750150803980687,0.5255102040816326,4.124800123392641,1,0,0,0,0,1,0,-0.2490950351574996,-0.2062516675775003,1.7706934567000014,2.1826697585,4.144735391499999,7.589258675,5.241029226946858,-0.0843175014031432,1.6863759552968582,64.3,37.61,24.18323
147,16174,16174,5826,CsCa0.125Ge0.875Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.88,0.0,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.89,2938.25,1199.06,4.85,68.54,85.5,740.56,28.89,311.85,1.88,30.5,4.0,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.9179982773299038,0.4540816326530612,4.118418101168446,1,0,0,0,0,1,0,-0.2524455340324999,-0.2043259799075003,1.971156121075,2.1826697585,4.280766829,7.589258675,5.27498870713,-0.15058935340750002,1.8205667676675,53.98,44.8,24.183039999999995
114,15867,15867,5560,CsGe0.500Sn0.375Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.5,0.38,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.02,2838.88,925.42,5.72,91.77,84.38,715.46,19.63,293.15,1.86,39.5,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8779513726141697,0.5204081632653061,4.115611491391544,1,0,0,0,0,1,0,-0.2340654833049995,-0.1925604390475003,1.7135215159999992,2.1826697585,4.144890856,7.589258675,5.241068543413979,-0.05569221458602103,1.6578293014139782,67.1,36.04,24.182839999999995
682,50673,50673,18519,CsBa0.125Ge0.500Sn0.375Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.5,0.38,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.04,2891.75,920.42,5.85,97.99,98.88,709.64,19.6,293.56,1.85,41.75,4.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8720983634634085,0.5306122448979592,4.135426831529346,0,0,1,0,0,1,0,-0.1943321288899999,-0.1849044665330001,1.859001162025007,2.1826697585,4.189871918,7.589258675,5.252394877246633,-0.1171057037658706,1.7418954582591364,59.71,40.5,24.182550000000003
369,33153,33153,12251,CsCa0.125Ge0.875Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.88,0.0,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.89,2938.25,1199.06,4.85,68.54,85.5,740.56,28.89,311.85,1.88,30.5,4.0,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.9179982773299038,0.4540816326530612,4.118418101168446,0,1,0,0,0,1,0,-0.2658586123799999,-0.2503060258674991,1.9328284641999964,2.1826697585,4.280766829,7.589258675,5.27498870713,-0.13142552496999826,1.8014029392299982,56.03,43.16,24.182547999999997
508,49853,49853,18215,CsGe0.625Sn0.250Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.63,0.25,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2867.75,1013.72,5.47,86.01,84.25,722.15,22.7,298.64,1.86,37.25,4.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8868796916577035,0.5051020408163265,4.096423757523503,0,0,1,0,0,1,0,-0.2482823835025008,-0.2427013962099996,1.9699246327250013,2.1826697585,4.17888576,7.589258675,5.249637549202876,-0.17532476715962508,1.794599865565376,54.16,44.65,24.182439999999996
685,50690,50690,18531,CsBa0.125Ge0.625Sn0.250Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.13,0.63,0.25,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.01,2920.63,1008.72,5.6,92.22,98.75,716.32,22.68,299.06,1.86,39.5,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8809074378418269,0.5153061224489796,4.107834568849016,0,0,1,0,0,1,0,-0.1870929439300002,-0.1825711308024996,1.952659085924996,2.1826697585,4.2238150005,7.589258675,5.260877596818546,-0.15545194614395197,1.7972071397810438,54.91,44.04,24.182363999999996
976,66771,66771,22803,CsGe0.375Sn0.500Sr0.125Br3,0.0,0.0,1.0,0.0,0.0,0.0,0.13,0.0,0.38,0.5,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,1.06,2810.0,837.12,5.97,97.54,84.5,708.78,16.55,287.66,1.85,41.75,4.63,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8663228776126575,0.5408163265306123,4.161114234380931,0,0,0,1,0,1,0,-0.260030230034999,-0.2492012630274997,1.940517255974998,2.1826697585,4.110895952,7.589258675,5.23244312795858,-0.17781550002891966,1.7627017559460783,55.54,43.54,24.182116
659,50100,50100,18430,CsCa0.125Ge0.500Sn0.375Br3,0.0,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.5,0.38,0.0,0.0,1.0,0.0,1.74,944.0,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55.0,6.0,0.99,2851.63,934.17,5.6,85.83,85.88,720.5,19.67,295.37,1.86,37.25,4.38,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35.0,4.0,0.8868796916577035,0.5051020408163265,4.096423757523503,0,0,1,0,0,1,0,-0.2600486920499996,-0.2544637571275011,1.9440704655000005,2.1826697585,4.178782117,7.589258675,5.249611509075745,-0.16242372367425573,1.7816467418257447,55.4,43.65,24.182100000000002
