"Wavelength","Global"
"280.0","4.73E-23"
"280.5","1.23E-21"
"281.0","5.69E-21"
"281.5","1.57E-19"
"282.0","1.19E-18"
"282.5","4.54E-18"
"283.0","1.85E-17"
"283.5","3.54E-17"
"284.0","7.27E-16"
"284.5","2.49E-15"
"285.0","8.01E-15"
"285.5","4.26E-14"
"286.0","1.37E-13"
"286.5","8.38E-13"
"287.0","2.74E-12"
"287.5","1.09E-11"
"288.0","6.23E-11"
"288.5","1.72E-10"
"289.0","5.63E-10"
"289.5","2.07E-9"
"290.0","6.02E-9"
"290.5","1.38E-8"
"291.0","3.51E-8"
"291.5","1.09E-7"
"292.0","2.68E-7"
"292.5","4.27E-7"
"293.0","8.65E-7"
"293.5","2.27E-6"
"294.0","4.17E-6"
"294.5","6.59E-6"
"295.0","1.23E-5"
"295.5","2.78E-5"
"296.0","4.79E-5"
"296.5","7.13E-5"
"297.0","9.68E-5"
"297.5","1.86E-4"
"298.0","2.90E-4"
"298.5","3.58E-4"
"299.0","4.92E-4"
"299.5","8.61E-4"
"300.0","1.02E-3"
"300.5","1.25E-3"
"301.0","1.93E-3"
"301.5","2.69E-3"
"302.0","2.92E-3"
"302.5","4.28E-3"
"303.0","7.09E-3"
"303.5","8.98E-3"
"304.0","9.47E-3"
"304.5","1.20E-2"
"305.0","1.65E-2"
"305.5","1.87E-2"
"306.0","1.86E-2"
"306.5","2.11E-2"
"307.0","2.78E-2"
"307.5","3.56E-2"
"308.0","3.78E-2"
"308.5","4.14E-2"
"309.0","4.05E-2"
"309.5","4.33E-2"
"310.0","5.09E-2"
"310.5","6.55E-2"
"311.0","8.29E-2"
"311.5","8.41E-2"
"312.0","9.34E-2"
"312.5","9.90E-2"
"313.0","1.07E-1"
"313.5","1.08E-1"
"314.0","1.20E-1"
"314.5","1.31E-1"
"315.0","1.36E-1"
"315.5","1.18E-1"
"316.0","1.23E-1"
"316.5","1.50E-1"
"317.0","1.72E-1"
"317.5","1.82E-1"
"318.0","1.76E-1"
"318.5","1.86E-1"
"319.0","2.05E-1"
"319.5","1.96E-1"
"320.0","2.05E-1"
"320.5","2.45E-1"
"321.0","2.50E-1"
"321.5","2.38E-1"
"322.0","2.22E-1"
"322.5","2.17E-1"
"323.0","2.12E-1"
"323.5","2.49E-1"
"324.0","2.75E-1"
"324.5","2.83E-1"
"325.0","2.79E-1"
"325.5","3.24E-1"
"326.0","3.81E-1"
"326.5","4.07E-1"
"327.0","3.98E-1"
"327.5","3.85E-1"
"328.0","3.51E-1"
"328.5","3.72E-1"
"329.0","4.22E-1"
"329.5","4.69E-1"
"330.0","4.71E-1"
"330.5","4.28E-1"
"331.0","4.03E-1"
"331.5","4.18E-1"
"332.0","4.36E-1"
"332.5","4.39E-1"
"333.0","4.29E-1"
"333.5","4.07E-1"
"334.0","4.15E-1"
"334.5","4.45E-1"
"335.0","4.64E-1"
"335.5","4.53E-1"
"336.0","4.15E-1"
"336.5","3.82E-1"
"337.0","3.74E-1"
"337.5","4.01E-1"
"338.0","4.34E-1"
"338.5","4.55E-1"
"339.0","4.64E-1"
"339.5","4.74E-1"
"340.0","5.02E-1"
"340.5","5.01E-1"
"341.0","4.71E-1"
"341.5","4.69E-1"
"342.0","4.89E-1"
"342.5","5.08E-1"
"343.0","5.15E-1"
"343.5","4.86E-1"
"344.0","4.18E-1"
"344.5","4.03E-1"
"345.0","4.59E-1"
"345.5","4.89E-1"
"346.0","4.78E-1"
"346.5","4.87E-1"
"347.0","4.94E-1"
"347.5","4.77E-1"
"348.0","4.75E-1"
"348.5","4.83E-1"
"349.0","4.66E-1"
"349.5","4.78E-1"
"350.0","5.28E-1"
"350.5","5.67E-1"
"351.0","5.52E-1"
"351.5","5.30E-1"
"352.0","5.18E-1"
"352.5","4.90E-1"
"353.0","5.20E-1"
"353.5","5.72E-1"
"354.0","6.05E-1"
"354.5","6.12E-1"
"355.0","6.11E-1"
"355.5","5.90E-1"
"356.0","5.54E-1"
"356.5","5.19E-1"
"357.0","4.57E-1"
"357.5","4.62E-1"
"358.0","4.30E-1"
"358.5","3.99E-1"
"359.0","4.70E-1"
"359.5","5.65E-1"
"360.0","5.98E-1"
"360.5","5.65E-1"
"361.0","5.20E-1"
"361.5","5.10E-1"
"362.0","5.34E-1"
"362.5","5.85E-1"
"363.0","6.02E-1"
"363.5","5.85E-1"
"364.0","6.06E-1"
"364.5","6.01E-1"
"365.0","6.24E-1"
"365.5","6.86E-1"
"366.0","7.35E-1"
"366.5","7.37E-1"
"367.0","7.23E-1"
"367.5","7.09E-1"
"368.0","6.68E-1"
"368.5","6.63E-1"
"369.0","6.93E-1"
"369.5","7.45E-1"
"370.0","7.55E-1"
"370.5","6.83E-1"
"371.0","6.93E-1"
"371.5","7.21E-1"
"372.0","6.74E-1"
"372.5","6.43E-1"
"373.0","6.19E-1"
"373.5","5.58E-1"
"374.0","5.56E-1"
"374.5","5.52E-1"
"375.0","5.89E-1"
"375.5","6.52E-1"
"376.0","6.75E-1"
"376.5","6.64E-1"
"377.0","7.12E-1"
"377.5","7.95E-1"
"378.0","8.56E-1"
"378.5","8.34E-1"
"379.0","7.44E-1"
"379.5","6.67E-1"
"380.0","7.01E-1"
"380.5","7.51E-1"
"381.0","7.64E-1"
"381.5","6.88E-1"
"382.0","5.87E-1"
"382.5","5.08E-1"
"383.0","4.55E-1"
"383.5","4.40E-1"
"384.0","5.10E-1"
"384.5","6.14E-1"
"385.0","6.74E-1"
"385.5","6.44E-1"
"386.0","6.21E-1"
"386.5","6.46E-1"
"387.0","6.51E-1"
"387.5","6.42E-1"
"388.0","6.36E-1"
"388.5","6.31E-1"
"389.0","6.85E-1"
"389.5","7.60E-1"
"390.0","7.97E-1"
"390.5","8.04E-1"
"391.0","8.51E-1"
"391.5","8.63E-1"
"392.0","7.95E-1"
"392.5","6.63E-1"
"393.0","4.80E-1"
"393.5","3.82E-1"
"394.0","4.96E-1"
"394.5","6.84E-1"
"395.0","8.08E-1"
"395.5","8.60E-1"
"396.0","7.57E-1"
"396.5","5.50E-1"
"397.0","4.26E-1"
"397.5","6.29E-1"
"398.0","8.52E-1"
"398.5","1.01E+0"
"399.0","1.07E+0"
"399.5","1.10E+0"
"400.0","1.11E+0"
"401.0","1.16E+0"
"402.0","1.21E+0"
"403.0","1.16E+0"
"404.0","1.18E+0"
"405.0","1.15E+0"
"406.0","1.12E+0"
"407.0","1.10E+0"
"408.0","1.15E+0"
"409.0","1.23E+0"
"410.0","1.05E+0"
"411.0","1.17E+0"
"412.0","1.25E+0"
"413.0","1.20E+0"
"414.0","1.18E+0"
"415.0","1.23E+0"
"416.0","1.26E+0"
"417.0","1.23E+0"
"418.0","1.18E+0"
"419.0","1.23E+0"
"420.0","1.12E+0"
"421.0","1.28E+0"
"422.0","1.26E+0"
"423.0","1.22E+0"
"424.0","1.21E+0"
"425.0","1.25E+0"
"426.0","1.21E+0"
"427.0","1.17E+0"
"428.0","1.18E+0"
"429.0","1.10E+0"
"430.0","8.75E-1"
"431.0","7.94E-1"
"432.0","1.32E+0"
"433.0","1.23E+0"
"434.0","1.14E+0"
"435.0","1.25E+0"
"436.0","1.37E+0"
"437.0","1.39E+0"
"438.0","1.22E+0"
"439.0","1.18E+0"
"440.0","1.35E+0"
"441.0","1.33E+0"
"442.0","1.43E+0"
"443.0","1.45E+0"
"444.0","1.41E+0"
"445.0","1.46E+0"
"446.0","1.31E+0"
"447.0","1.49E+0"
"448.0","1.51E+0"
"449.0","1.50E+0"
"450.0","1.56E+0"
"451.0","1.62E+0"
"452.0","1.55E+0"
"453.0","1.43E+0"
"454.0","1.53E+0"
"455.0","1.52E+0"
"456.0","1.57E+0"
"457.0","1.59E+0"
"458.0","1.55E+0"
"459.0","1.54E+0"
"460.0","1.53E+0"
"461.0","1.58E+0"
"462.0","1.60E+0"
"463.0","1.60E+0"
"464.0","1.55E+0"
"465.0","1.53E+0"
"466.0","1.57E+0"
"467.0","1.50E+0"
"468.0","1.56E+0"
"469.0","1.57E+0"
"470.0","1.51E+0"
"471.0","1.53E+0"
"472.0","1.61E+0"
"473.0","1.55E+0"
"474.0","1.57E+0"
"475.0","1.62E+0"
"476.0","1.56E+0"
"477.0","1.57E+0"
"478.0","1.62E+0"
"479.0","1.59E+0"
"480.0","1.62E+0"
"481.0","1.62E+0"
"482.0","1.62E+0"
"483.0","1.60E+0"
"484.0","1.57E+0"
"485.0","1.57E+0"
"486.0","1.27E+0"
"487.0","1.42E+0"
"488.0","1.54E+0"
"489.0","1.45E+0"
"490.0","1.62E+0"
"491.0","1.56E+0"
"492.0","1.49E+0"
"493.0","1.59E+0"
"494.0","1.55E+0"
"495.0","1.65E+0"
"496.0","1.57E+0"
"497.0","1.59E+0"
"498.0","1.55E+0"
"499.0","1.55E+0"
"500.0","1.55E+0"
"501.0","1.50E+0"
"502.0","1.50E+0"
"503.0","1.57E+0"
"504.0","1.46E+0"
"505.0","1.56E+0"
"506.0","1.63E+0"
"507.0","1.56E+0"
"508.0","1.52E+0"
"509.0","1.59E+0"
"510.0","1.55E+0"
"511.0","1.58E+0"
"512.0","1.62E+0"
"513.0","1.52E+0"
"514.0","1.49E+0"
"515.0","1.53E+0"
"516.0","1.55E+0"
"517.0","1.26E+0"
"518.0","1.44E+0"
"519.0","1.40E+0"
"520.0","1.52E+0"
"521.0","1.53E+0"
